offset_x,offset_y,1996-09-01 00:00:00,1997-09-17 00:00:00,1998-09-14 00:00:00,1999-08-31 00:00:00,2000-08-17 00:00:00,2001-08-26 00:00:00,2002-08-18 00:00:00,2003-08-21 00:00:00,2004-09-02 00:00:00,2005-08-21 00:00:00,2006-08-23 00:00:00,2007-08-27 00:00:00,2008-08-27 00:00:00,2009-08-19 00:00:00,2010-08-25 00:00:00,2011-08-16 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-25 00:00:00,2015-08-25 00:00:00,2016-08-25 00:00:00,2017-08-24 00:00:00,2018-08-23 00:00:00,2019-08-22 00:00:00
50,80,33,35,40,38,35,34,32,35,40,31,40,23,29,30,23,21,36,27,29,-999,30,32,30,29
50,90,32,35,35,38,35,27,36,36,35,30,35,21,30,28,22,20,38,26,28,-999,32,32,28,28
50,100,29,31,35,34,29,29,31,28,36,28,34,32,18,31,22,21,33,25,25,-999,31,30,31,30
60,0,32,27,28,33,29,31,37,26,35,23,31,26,22,18,25,26,27,41,28,-999,31,30,27,31
60,10,29,30,28,25,20,24,24,24,28,23,27,25,21,15,27,26,22,42,28,-999,33,34,29,38
60,20,22,22,25,26,17,20,23,23,31,21,28,27,26,16,28,31,25,37,28,-999,42,41,37,45
60,30,35,38,34,28,19,24,20,20,25,22,27,27,25,20,33,34,35,47,35,-999,38,40,40,47
60,40,32,32,34,30,26,20,24,23,25,21,29,25,20,21,26,32,27,39,28,-999,33,39,42,40
60,50,30,31,40,34,30,25,23,29,34,20,34,23,28,36,25,29,38,31,25,-999,31,32,32,34
60,60,25,28,30,30,26,21,24,26,28,20,31,23,28,27,27,24,38,24,28,-999,22,30,29,33
60,70,27,27,26,26,20,24,27,25,35,26,41,19,38,27,36,40,35,26,34,-999,43,28,31,43
60,80,34,34,54,43,36,22,40,32,34,32,40,21,36,24,26,26,34,25,26,-999,34,33,26,34
60,90,34,29,39,36,30,35,33,37,30,24,32,21,43,27,19,19,34,26,21,-999,28,25,28,28
60,100,31,30,35,32,28,25,25,25,35,26,46,23,38,26,23,22,32,31,23,-999,31,29,26,30
70,0,30,28,31,33,25,29,21,23,36,28,31,30,28,20,27,34,28,44,32,-999,36,37,36,40
70,10,26,27,30,30,37,31,29,32,43,33,36,30,24,19,34,24,26,57,35,-999,48,43,45,48
70,20,25,27,30,29,25,28,26,27,33,20,30,28,24,20,27,30,26,50,32,-999,42,44,38,40
70,30,41,37,31,27,18,29,27,23,29,27,30,30,28,19,27,31,35,44,27,-999,43,35,41,40
70,40,23,21,26,24,21,25,24,26,31,22,27,25,24,18,28,30,41,36,33,-999,35,32,32,36
