offset_x,offset_y,1995-07-12 00:00:00,1995-07-30 00:00:00,1995-08-24 00:00:00,1996-06-21 00:00:00,1996-07-26 00:00:00,1996-08-05 00:00:00,1996-08-23 00:00:00,1997-07-10 00:00:00,1997-07-31 00:00:00,1997-08-15 00:00:00,1998-08-18 00:00:00,1999-08-12 00:00:00,2000-08-10 00:00:00,2001-06-23 00:00:00,2001-07-16 00:00:00,2001-08-13 00:00:00,2002-08-26 00:00:00,2003-08-23 00:00:00,2004-08-20 00:00:00,2005-08-17 00:00:00,2006-07-28 00:00:00,2006-08-19 00:00:00,2007-08-14 00:00:00,2008-08-09 00:00:00,2009-08-16 00:00:00,2010-08-10 00:00:00,2011-08-12 00:00:00,2012-08-14 00:00:00,2013-08-09 00:00:00,2014-08-10 00:00:00,2015-08-13 00:00:00,2016-07-06 00:00:00,2016-07-24 00:00:00,2016-08-12 00:00:00,2017-08-11 00:00:00,2018-08-07 00:00:00,2019-08-08 00:00:00
572180,7797504,31,40,44,20,39,43,48,26,34,46,47,44,41,13,28,41,45,40,47,44,39,52,34,39,39,43,56,48,60,47,44
572188,7797510,31,38,42,28,38,42,44,27,36,40,45,41,41,12,25,32,43,38,43,32,32,38,30,35,34,38,43,40,43,42,39
572190,7797507,31,40,43,24,38,45,44,28,37,40,48,43,42,14,23,35,40,39,45,35,36,43,32,34,22,37,45,45,47,42,42
572194,7797506,35,46,53,22,46,43,50,32,40,40,47,44,45,16,27,39,41,38,47,36,39,42,35,42,40,41,44,42,47,43,48,32,45,50,44,49,48
572198,7797505,24,34,41,34,38,42,50,35,32,41,47,42,47,12,23,39,37,41,50,36,37,46,32,40,35,40,43,48,46,42,43
572203,7797503,31,38,42,20,39,42,45,24,35,39,48,42,42,15,28,34,40,40,43,35,38,41,30,33,33,41,40,42,42,40,41
572209,7797464,31,39,42,21,41,44,48,29,37,39,49,44,42,17,32,41,42,42,49,34,38,58,48,52,50,52,46,62,37,44,47
572212,7797503,31,37,43,21,40,42,47,26,35,37,48,42,43,15,26,38,40,38,47,38,37,43,32,40,36,43,44,44,46,41,44,37,46,50,47,43,47
572213,7797470,27,35,32,24,39,35,39,20,27,53,44,38,43,10,34,27,38,43,57,45,47,49,42,44,37,41,57,48,63,54,60,49,57,66,67,46,46
572215,7797471,22,32,34,25,39,38,37,20,31,52,53,37,49,11,29,30,38,39,55,34,44,33,21,36,30,41,53,38,52,47,54
572217,7797502,32,43,50,23,45,48,55,31,39,41,52,45,43,16,26,38,41,40,48,38,39,46,39,43,39,45,46,49,45,43,46
572219,7797473,27,35,39,21,38,37,40,25,33,46,43,38,48,12,28,31,36,35,52,36,40,43,38,43,43,37,48,42,53,45,48
572222,7797475,29,35,40,19,38,39,42,19,29,41,43,38,43,14,29,34,39,33,44,37,35,46,35,37,33,37,43,45,49,44,44
572222,7797500,30,37,41,20,38,38,47,28,34,41,46,40,40,17,25,39,40,42,46,37,39,43,35,41,36,41,44,44,46,43,43,36,45,49,47,45,54
572224,7797500,25,36,40,19,38,40,49,23,33,38,47,39,39,13,23,32,36,37,52,36,36,44,36,40,38,40,38,44,42,42,44
572226,7797532,18,33,45,32,41,42,53,22,33,45,48,41,-999,8,19,38,44,-999,49,51,39,43,26,40,35,37,45,42,45,44,43,32,43,47,47,44,44
572227,7797478,30,36,38,18,37,38,39,23,33,42,44,38,43,13,32,33,34,37,45,36,36,44,36,42,37,41,42,48,48,43,46,32,41,52,48,46,52
572228,7797526,29,34,33,28,29,35,37,28,33,44,34,37,44,9,18,30,27,38,33,45,31,39,26,37,27,35,45,38,47,45,37
572230,7797499,26,39,44,22,39,43,47,26,34,40,44,37,43,9,24,38,26,35,39,42,35,41,34,38,38,43,47,43,52,45,47
572232,7797481,32,37,40,23,38,39,43,19,27,42,43,37,44,12,29,33,36,37,44,42,36,48,41,41,38,40,43,44,48,45,45
572232,7797522,31,38,46,31,46,44,47,22,42,43,46,39,32,10,25,36,39,31,45,41,35,38,32,36,33,36,43,39,44,45,45,35,44,49,47,45,49
572234,7797518,25,39,47,27,42,44,51,25,33,38,44,45,44,15,29,41,38,38,43,36,38,40,30,35,32,36,41,41,39,42,40,32,41,46,42,53,46
572235,7797486,23,33,37,21,35,35,41,21,31,43,37,35,47,10,30,28,39,36,48,31,42,35,31,31,27,36,46,34,52,53,52
572235,7797498,20,28,31,16,30,38,31,19,34,32,35,29,37,9,15,36,36,31,46,38,26,35,19,36,25,34,44,32,44,41,37
572237,7797514,29,35,41,22,39,40,45,23,33,41,46,39,45,15,27,38,46,39,44,37,37,41,32,36,36,39,43,41,47,43,50
572239,7797490,24,34,36,22,35,39,43,32,39,40,40,35,42,9,25,32,41,29,44,30,35,35,29,33,31,37,43,32,42,40,42
572240,7797497,25,33,41,16,36,43,50,19,33,44,47,39,40,5,20,37,38,36,43,38,34,41,32,42,33,38,47,47,48,44,45,36,44,49,46,39,54
572240,7797511,32,40,46,17,39,43,46,24,34,43,45,40,40,12,24,37,38,38,47,37,41,39,30,34,30,32,43,40,47,44,47,36,46,51,47,52,48
572242,7797507,26,34,37,18,35,39,44,24,32,35,37,33,42,10,19,30,34,39,41,42,30,33,29,32,27,36,34,32,41,37,22
572243,7797492,32,38,41,17,41,41,44,23,37,42,43,42,47,12,27,36,40,35,55,40,35,47,40,45,41,39,52,48,50,40,35
572245,7797496,29,38,43,17,40,42,45,27,38,38,43,38,37,16,24,38,36,36,41,38,35,42,34,38,35,39,42,38,45,42,39,34,43,48,46,41,44
572245,7797504,26,31,31,13,33,33,42,20,36,40,34,32,35,11,18,29,30,32,37,35,30,34,30,38,33,32,40,37,41,37,31
572246,7797494,22,39,46,19,43,43,52,24,37,42,47,42,41,3,25,33,36,36,46,42,37,46,40,43,39,42,41,45,43,36,41
572248,7797499,33,39,46,20,44,45,48,30,39,41,47,46,33,17,26,39,43,30,46,34,39,38,31,35,32,44,43,42,45,32,46
572250,7797494,34,27,27,41,36,40,49,46,47,20,22,19,43,46,45,48,48,52,53,49,59,22,33,22,39,38,39,43,47,46,50,49,54,43,43,40,46,46,38,10,17,11,19,21,28,39,42,39,43,42,43,42,35,38,48,53,50,35,38,34,37,35,41,42,46,41,41,40,32,44,38,45,42,35,37,37,42,41,46,50,46,47,43,49,45,44,49,39,41,45,48,44,48
572253,7797493,26,41,50,19,45,52,55,27,39,46,54,44,42,14,22,38,44,42,50,30,33,43,38,43,45,40,45,49,49,36,44
572254,7797500,29,37,42,14,40,44,48,31,38,42,45,42,38,18,17,40,38,36,48,38,31,44,37,42,40,41,45,47,50,39,44,14,40,47,48,44,54
572255,7797494,31,39,41,16,42,47,45,29,38,42,44,45,44,17,29,34,40,41,47,35,38,45,38,40,39,42,38,44,41,38,43
572256,7797489,33,39,45,23,41,44,47,29,38,44,47,46,39,18,28,38,43,38,48,33,38,44,36,42,36,38,47,44,48,45,48,33,42,47,50,40,50
572258,7797503,34,40,47,16,40,46,57,31,36,40,44,47,40,17,25,37,40,38,38,36,32,44,34,41,39,40,39,43,46,45,43
572259,7797495,31,37,41,18,41,45,49,28,38,42,50,44,43,16,29,36,41,42,46,33,40,44,36,44,38,46,44,48,43,40,46
572260,7797485,30,38,40,24,40,41,54,27,36,43,47,42,45,15,26,38,39,42,47,33,36,46,33,37,39,43,48,51,45,46,44,32,43,48,51,45,53
572262,7797481,29,38,44,17,39,44,57,24,33,34,46,42,43,12,21,34,37,40,45,30,34,43,34,40,36,39,36,45,35,32,45
572262,7797504,30,36,40,23,39,54,46,29,36,37,47,41,38,17,19,33,39,40,36,34,28,44,34,40,37,29,35,43,33,30,42
572264,7797495,33,39,43,18,42,45,48,29,38,43,47,45,41,14,26,23,43,40,47,25,39,46,36,40,37,41,28,46,35,34,45
572265,7797477,30,35,40,18,36,40,52,28,33,35,41,37,40,13,25,30,34,35,37,27,29,50,39,43,39,50,31,48,24,28,41,26,33,32,36,35,52
572265,7797507,35,45,50,24,40,46,54,31,41,34,47,46,30,17,19,34,40,41,37,32,27,35,31,31,34,20,30,43,33,26,29
572268,7797472,33,40,45,23,42,46,48,31,38,40,47,46,37,13,26,38,41,35,43,34,35,45,34,42,38,44,44,46,47,46,46
572270,7797468,31,39,43,21,40,46,48,30,38,39,44,45,44,15,29,37,43,38,45,35,35,45,35,40,37,42,47,46,49,46,47
572270,7797511,34,40,44,22,42,50,49,30,38,37,47,46,37,15,22,36,43,44,42,39,34,44,34,40,38,43,37,45,40,37,39
572271,7797493,35,43,46,15,47,52,48,28,37,45,46,48,45,16,27,35,46,43,48,32,40,48,38,46,42,41,41,48,46,39,48
572274,7797464,31,37,40,33,48,43,43,27,35,40,42,40,44,12,24,35,48,41,41,35,33,45,35,41,36,41,41,48,42,33,38,32,42,45,49,43,52
572275,7797492,32,37,40,18,38,45,48,27,38,40,44,41,38,10,24,35,38,33,48,37,31,38,27,33,32,38,47,46,47,38,39
572276,7797513,32,39,44,23,42,47,48,33,39,38,47,47,37,15,22,39,45,40,42,38,33,43,35,41,38,44,39,46,41,34,41
572278,7797459,32,40,44,17,42,47,48,30,38,45,46,45,40,13,28,37,43,37,44,34,35,52,39,46,41,51,42,55,39,36,46,28,44,43,46,42,56
572279,7797454,29,38,43,25,43,44,48,29,37,32,48,45,45,16,25,40,41,41,47,30,39,54,42,48,45,48,35,55,38,38,48,30,39,39,40,45,56
572279,7797492,34,39,44,18,43,44,48,30,38,41,47,45,43,15,28,36,45,42,44,36,36,46,35,41,40,43,43,47,44,40,45
572279,7797516,30,38,43,18,41,46,48,33,38,38,47,45,40,14,25,37,45,41,44,35,33,40,30,37,35,39,37,40,41,38,41,17,35,40,42,44,41
572284,7797519,26,44,51,21,47,46,58,31,43,39,56,47,37,17,21,44,46,41,40,35,31,42,34,40,37,39,38,44,39,33,35,13,35,38,38,43,52
572285,7797490,34,40,46,19,42,46,50,30,39,44,50,46,42,14,26,40,43,41,44,40,37,46,34,39,37,42,45,48,47,41,44
572289,7797521,34,44,49,19,50,44,55,31,44,39,57,54,36,19,19,45,50,44,45,39,30,45,36,43,41,39,39,45,42,35,37
572290,7797489,33,39,42,18,40,44,47,28,38,42,48,46,42,14,26,37,43,40,45,35,40,46,34,40,38,44,43,47,44,40,44
572292,7797527,40,50,54,14,52,52,61,34,48,32,63,59,36,17,20,49,58,49,43,40,32,47,38,44,42,41,41,47,45,40,45,15,38,42,36,36,50
572293,7797488,31,37,38,20,39,44,45,27,36,39,43,44,40,12,25,35,38,35,42,35,35,41,30,36,34,40,41,43,42,40,41
572298,7797487,30,37,39,30,40,45,46,27,37,41,46,45,43,13,27,37,43,37,44,33,38,46,34,41,39,43,44,45,44,37,47
572304,7797487,30,41,45,20,42,44,48,28,38,42,47,46,42,13,26,42,41,38,44,36,39,50,34,40,37,42,42,44,44,46,44,32,39,43,51,44,51
572309,7797486,27,37,42,27,40,44,48,23,35,39,47,42,40,12,23,35,39,38,43,36,40,45,38,44,38,42,43,53,43,40,48,31,44,44,47,44,50
572315,7797483,27,38,43,28,40,43,49,22,33,41,53,44,40,13,23,32,47,35,40,34,35,41,31,35,33,38,39,47,43,39,40
572319,7797483,30,42,52,30,46,51,51,23,35,49,60,38,48,14,25,36,47,39,48,36,43,55,41,42,47,50,45,51,42,40,44,35,46,49,47,42,56
572181,7797505,29,41,41,55,52,55
572189,7797510,30,40,45,44,45,51
572191,7797508,36,43,52,48,30,51
572199,7797505,34,43,48,45,46,52
572204,7797504,32,41,44,43,44,51
572209,7797465,20,39,45,47,42,70
572216,7797471,31,48,53,57,38,46
572218,7797502,37,45,50,48,42,53
572219,7797474,32,38,49,50,37,47
572222,7797476,32,40,49,48,47,53
572225,7797501,35,42,43,43,44,47
572229,7797526,34,44,48,48,48,44
572231,7797499,35,44,52,50,45,51
572232,7797482,35,42,51,46,47,54
572236,7797487,37,44,53,52,28,43
572236,7797498,34,42,47,46,43,52
572237,7797515,37,45,51,45,45,42
572240,7797490,32,37,45,48,38,39
572243,7797508,27,38,46,38,48,39
572244,7797493,33,41,50,52,46,51
572246,7797504,30,40,43,42,44,40
572247,7797495,30,36,44,44,44,51
572249,7797499,35,45,48,46,42,46
572250,7797495,16,24,38,42,43,44,49,42,32,32,51,53
572251,7797495,36,42,50,50,41,52
572254,7797493,23,40,47,41,32,53
572256,7797494,34,31,42,38,45,52
572259,7797496,25,38,42,43,45,55
572259,7797503,23,42,49,43,45,47
572263,7797481,29,36,36,38,34,51
572263,7797505,23,32,44,37,45,47
572265,7797495,24,28,38,50,42,53
572266,7797508,17,29,31,30,44,38
572268,7797473,30,44,48,49,45,52
572271,7797468,33,42,48,48,39,54
572271,7797494,26,37,46,46,52,57
572271,7797511,18,35,39,39,46,45
572276,7797493,33,39,45,45,42,44
572276,7797514,15,34,39,42,40,44
572280,7797492,33,41,46,44,44,51
572286,7797491,29,39,41,40,45,51
572289,7797522,14,35,39,34,44,49
572290,7797490,31,42,45,46,49,51
572294,7797489,34,41,45,48,40,49
572299,7797488,31,39,44,45,42,51
572316,7797483,31,40,44,44,40,51
