offset_x,offset_y,1996-08-31 00:00:00,1997-09-15 00:00:00,1998-09-14 00:00:00,1999-09-01 00:00:00,2000-08-17 00:00:00,2001-08-23 00:00:00,2002-08-18 00:00:00,2003-08-20 00:00:00,2004-09-01 00:00:00,2005-08-20 00:00:00,2006-08-23 00:00:00,2007-08-29 00:00:00,2008-08-26 00:00:00,2009-08-18 00:00:00,2010-08-25 00:00:00,2011-08-15 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-26 00:00:00,2015-08-27 00:00:00,2016-08-24 00:00:00,2017-08-23 00:00:00,2018-08-22 00:00:00,2019-08-21 00:00:00
50,70,60,63,68,60,59,55,53,42,55,58,90,58,53,55,63,62,62.5,76,63,73,69,67,63,68
50,80,72,79,85,75,47,61,64,79,68,58,74,62,57,69,67,65,62.5,70,53,60,66,64,50,59
50,90,113,115,119,86,100,82,65,59,90,72,90,61,59,66,58,64,64,69,72,67,69,65,49,64
50,100,73,88,97,79,59,52,54,64,85,74,75,52,57,100,73,71,67,79,81,81,76,80,70,80
60,0,58,61,68,63,52,56,53,53,56,52,56,49,52,60,62,55,81,64,68,65,62,58,56,55
60,10,45,52,70,54,65,59,46,45,67,40,92,56,62,43,75,60,67.5,61,74,66,58,70,69,73
60,20,59,61,67,55,45,51,47,50,57,54,56,84,54,52,50,57,59,57,61,64,57,72,60,64
60,30,55,58,88,66,51,60,52,49,68,51,92,50,48,56,59,54,60.5,64,64,66,67,70,56,70
60,40,69,69,75,64,48,49,56,61,54,54,67,53,55,49,57,59,59.5,69,68,62,66,69,57,70
60,50,71,76,66,65,46,50,45,55,66,51,64,54,53,65,56,87,64,60,100,72,61,67,65,71
60,60,70,57,78,67,53,58,56,55,57,50,59,69,59,55,76,59,65,64,70,68,73,79,61,72
60,70,55,61,66,82,60,66,54,59,69,47,53,67,60,60,59,62,61,56,63,56,63,65,50,61
60,80,77,63,115,124,70,82,73,68,62,65,67,72,52,62,55,55,58.5,77,54,58,49,60,49,63
60,90,62,80,89,85,68,55,73,71,79,54,91,73,62,70,65,77,73.5,74,70,67,63,70,62,72
