offset_x,offset_y,1996-08-31 00:00:00,1997-09-16 00:00:00,1998-09-14 00:00:00,1999-08-30 00:00:00,2003-08-19 00:00:00,2005-08-20 00:00:00,2006-08-24 00:00:00,2007-08-29 00:00:00,2008-08-27 00:00:00,2009-08-18 00:00:00,2010-08-24 00:00:00,2011-08-16 00:00:00,2012-08-23 00:00:00,2013-08-28 00:00:00,2014-08-26 00:00:00,2015-08-25 00:00:00,2016-08-23 00:00:00,2017-08-22 00:00:00,2018-08-21 00:00:00,2019-08-21 00:00:00
60,0,40,31,36,39,35,23,36,43,47,48,47,42,46,27,50,49,50,61,58,40
60,10,35,44,49,44,38,29,25,31,41,29,40,29,41,36,37,33,59,50,40,30
60,20,37,41,47,48,32,24,34,21,51,54,41,34,38,42,44,48,42,49,45,41
60,30,43,35,46,37,30,36,32,22,49,40,47,41,68,48,57,40,45,41,60,44
60,40,33,44,49,47,35,43,40,29,37,41,30,40,28,48,45,36,46,31,48,37
60,50,35,37,56,41,40,21,41,24,36,38,52,44,32,46,34,43,56,46,31,56
60,60,27,39,48,50,29,41,35,38,43,37,36,35,45,46,36,40,56,53,53,40
60,70,37,49,38,40,29,31,33,30,44,35,50,33,57,33,41,36,37,36,34,38
60,80,34,31,39,55,42,56,46,35,41,37,40,40,40.5,52,39,45,54,46,35,37
60,90,37,44,44,36,35,28,38,41,47,32,34,38,40,52,44,32,36,49,40,44
60,100,50,38,47,46,29,38,28,25,46,34,43,43,44,48,48,45,48,53,50,45
70,0,35,44,50,35,34,33,51,26,50,49,46,39,39,39,43,37,43,37,37,43
70,10,32,45,49,44,35,27,50,35,39,53,35,30,27,47,36,31,40,38,38,34
70,20,38,36,41,50,36,37,35,34,44,40,42,36,32,42,38,29,36,33,40,37
70,30,36,38,43,44,37,54,45,25,48,34,52,52,40,40,44,50,54,45,54,48
70,40,25,36,43,39,26,28,37,40,42,34,43,43,55,40,46,57,55,40,42,52
70,50,34,40,45,46,47,26,31,21,31,55,66,42,50,36,55,67,70,47,62,52
70,60,32,39,47,50,41,27,36,31,42,44,47,58,60,49,46,60,43,38,40,59
70,70,40,33,43,43,30,33,28,22,59,29,53,29,38,48,42,39,44,39,34,39
70,80,44,52,59,49,45,42,42,49,39,31,33,43,58,50,39,51,45,35,50,42
70,90,31,45,46,35,30,34,25,42,43,34,44,41,33.5,38,45,52,52,58,47,48
70,100,37,39,50,37,22,27,51,36,39,22,43,48,49,46,43,46,51,42,50,52
80,0,30,41,47,44,40,35,32,49,55,42,38,42,31,38,45,35,42,34,43,36
80,10,41,46,45,42,37,23,49,52,41,42,31,44,32.5,41,34,37,27,46,44,46
80,20,40,45,52,38,41,33,43,41,47,28,46,39,32,49,43,40,36,43,54,48
80,30,37,43,51,45,28,39,51,22,51,42,33,40,28,40,63,34,50,38,47,40
80,40,32,46,52,35,43,44,45,43,31,31,42,40,41,50,60,44,53,53,33,44
80,50,33,38,53,46,23,41,44,26,30,29,43,25,45,43,36,38,52,33,57,37
80,60,33,45,53,48,39,35,46,32,35,35,48,25,30,35,41,45,46,37,36,49
80,70,36,31,48,48,31,40,35,26,35,32,55,37,41,57,39,54,52,48,47,49
80,80,48,60,64,59,39,21,58,44,27,42,59,61,28.5,50,51,45,49,60,39,45
80,90,39,44,49,41,47,51,27,44,40,56,42,42,38,43,46,48,42,46,52,49
80,100,42,38,49,42,36,26,51,21,39,46,50,51,59,32,55,35,51,54,56,60
90,0,33,28,35,35,19,29,32,33,42,35,43,38,38,29,30,37,40,36,35,42
90,10,33,38,37,34,24,42,43,25,51,26,55,30,27,32,33,34,50,40,33,37
90,20,40,49,55,47,46,40,44,42,44,29,60,36,52,37,34,35,49,42,45,43
90,30,30,36,48,49,30,20,38,40,37,27,40,35,31,49,37,41,38,44,39,46
90,40,40,37,48,49,41,24,49,35,31,50,40,37,24,48,36,41,45,46,39,46
90,50,38,33,38,29,35,22,57,42,48,58,46,28,50.5,44,52,42,50,45,43,41
90,60,32,41,48,43,31,36,38,22,52,28,50,52,42,44,32,32,42,36,42,47
90,70,30,29,51,51,31,27,41,24,37,28,49,45,45,39,40,36,44,56,51,38
90,80,44,33,55,44,32,40,24,23,40,23,43,40,38,48,36,39,49,52,57,48
90,90,33,39,53,51,37,35,45,31,35,48,30,50,47,28,65,51,51,65,44,56
90,100,47,39,48,32,41,36,27,29,37,41,35,51,38,39,39,46,54,43,45,50
100,0,25,38,43,44,41,36,35,22,39,38,39,31,35,32,40,40,46,38,40,41
100,10,26,28,47,36,28,31,35,31,34,25,32,42,41.5,38,41,41,33,51,54,37
100,20,27,33,46,40,34,26,41,44,56,29,43,33,39,53,32,41,49,58,34,41
100,30,33,38,40,39,36,27,40,38,43,35,35,58,47,33,38,50,64,59,36,40
100,40,35,46,54,55,45,27,44,37,45,39,42,28,38,45,36,35,36,44,40,36
100,50,40,45,57,50,43,51,55,41,41,51,52,39,53,51,42,49,48,63,53,48
100,60,41,42,49,51,42,38,38,28,41,38,31,34,41,33,58,49,62,56,38,45
100,70,37,35,50,50,40,41,42,29,47,44,38,38,29,39,37,42,42,35,37,60
100,80,33,39,59,49,43,45,44,28,42,47,46,60,46,40,45,54,71,43,59,37
100,90,35,35,50,46,36,41,38,25,36,37,47,33,69,39,37,45,55,55,45,52
100,100,24,37,47,36,31,30,37,28,37,37,36,41,35,47,44,31,37,49,44,46
