offset_x,offset_y,1995-07-12 00:00:00,1995-07-28 00:00:00,1995-08-24 00:00:00,1996-06-21 00:00:00,1996-07-26 00:00:00,1996-08-05 00:00:00,1996-08-23 00:00:00,1997-07-10 00:00:00,1997-07-31 00:00:00,1997-08-15 00:00:00,1998-08-18 00:00:00,1999-08-12 00:00:00,2000-08-10 00:00:00,2001-06-23 00:00:00,2001-07-16 00:00:00,2001-08-13 00:00:00,2002-08-25 00:00:00,2003-08-23 00:00:00,2004-08-20 00:00:00,2005-08-17 00:00:00,2006-07-28 00:00:00,2006-08-19 00:00:00,2007-08-14 00:00:00,2008-08-09 00:00:00,2009-08-16 00:00:00,2010-08-10 00:00:00,2011-08-13 00:00:00,2012-08-14 00:00:00,2013-08-09 00:00:00,2014-08-10 00:00:00,2014-08-12 00:00:00,2016-07-06 00:00:00,2016-07-24 00:00:00,2016-08-12 00:00:00,2017-08-11 00:00:00,2018-08-07 00:00:00,2019-08-08 00:00:00
5712445257,77984080170,31,36,39,28,38,37,41,26,35,40,40,36,34,12,21,34,31,32,34,31,23,32,28,27,23,30,30,34,36,31,31,20,28,35,36,31,41
5712463730,77984164460,24,30,35,28,34,40,38,20,29,41,36,33,33,6,20,29,35,30,33,27,26,33,26,30,31,26,30,32,32,29,33,22,34,35,36,28,31
5712505236,77984102150,25,21,30,34,31,31,39,39,35,18,23,29,35,24,35,39,35,42,41,44,39,19,21,18,29,33,34,39,38,39,42,39,43,31,33,34,36,30,33,5,7,6,15,17,16,27,29,25,36,30,27,30,30,32,44,34,36,28,30,27,26,25,28,39,33,33,24,26,28,30,25,30,27,24,27,32,14,27,33,25,28,32,30,36,30,33,38,28,30,22,37,28,28,23,18,20,34,25,32,38,33,26,36,38,36,31,34,30,35,30,46
5712523389,77984063710,25,36,39,22,39,37,45,21,27,36,48,33,33,8,15,28,21,29,32,26,25,31,28,28,24,31,34,35,39,31,34,22,35,38,40,33,39
5712523486,77984108330,23,28,30,23,30,32,37,18,24,29,37,26,27,5,12,24,27,28,31,25,19,28,14,15,19,23,24,26,44,25,30,25,30,29,29,29,38
5712529851,77984134150,25,34,39,18,36,39,44,19,27,40,46,34,33,8,16,28,31,28,33,25,24,31,28,28,25,30,33,37,38,31,35,19,35,40,39,35,38
5712544129,77984026380,19,27,33,27,35,42,48,19,33,43,36,33,31,6,13,27,30,29,31,23,25,28,21,23,26,25,26,28,34,25,28,16,28,31,32,26,31
5712571378,77983985890,21,27,37,28,36,35,43,18,28,37,41,30,30,5,15,25,32,32,35,26,22,33,26,28,20,26,28,33,36,25,31,19,29,34,34,25,36
5712574228,77984161250,20,29,32,16,32,32,37,16,34,43,35,30,28,7,19,27,27,32,39,26,28,29,22,24,28,24,26,34,37,25,27,17,30,35,34,26,41
5712581028,77984100020,28,33,37,15,36,38,39,20,33,39,40,40,35,11,29,36,40,35,38,40,34,40,30,33,30,38,40,49,36,43,45,38,45,43,43,38,44
5712602993,77983951240,26,32,35,18,36,38,39,25,27,39,50,31,33,12,22,30,31,38,42,35,24,41,30,33,24,35,36,33,32,38,37,32,40,42,41,37,40
5712617851,77984188240,22,30,37,27,33,33,38,18,26,33,41,29,28,10,18,27,31,35,38,27,30,36,26,29,23,28,31,35,36,30,29,22,34,34,37,30,38
5712625450,77984089150,23,32,35,20,33,34,44,20,28,37,36,33,31,6,16,32,34,31,38,32,28,34,26,28,31,33,37,33,37,35,38,22,38,43,37,32,47
5712628077,77983895060,25,34,38,20,38,37,43,23,33,39,48,35,33,10,22,29,29,36,38,29,34,36,28,35,29,28,35,37,36,36,36,26,33,43,38,33,40
5712639242,77983863040,26,35,37,24,37,39,44,24,33,41,40,40,40,10,22,35,38,41,44,36,28,42,30,31,30,34,38,39,42,38,38,26,38,46,43,35,42
5712656966,77984213960,22,30,35,19,30,39,41,15,28,34,41,30,33,4,15,23,36,37,42,26,30,37,23,29,27,25,32,35,40,28,29,17,37,35,39,29,47
5712657672,77983827890,24,32,33,22,33,41,37,19,29,42,39,36,37,9,20,32,44,37,42,34,36,42,30,33,28,34,35,23,29,34,35,21,37,40,39,34,45
5712671825,77983809440,31,38,39,20,32,34,39,23,28,35,36,34,37,9,25,35,44,38,42,36,34,43,32,31,28,30,34,31,35,36,41,34,41,45,40,37,44
5712675588,77984076210,22,31,34,21,39,41,43,20,33,37,41,36,34,10,20,32,34,34,40,32,29,36,27,31,25,27,25,35,34,29,37,19,30,35,36,34,44
5712704206,77984233290,27,37,43,20,36,36,43,18,28,39,35,31,32,7,14,29,35,30,34,35,28,33,32,30,24,28,28,40,42,31,32,22,36,37,37,33,46
