File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017316_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-12,5173.0,0.1838,1.0,"(0.1838,1.0)",0.6485,0.1927,0.0371,0.8065,1.0,0.6422,0.1838,0.4963
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017316_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-12,5165.0,0.0002,0.4961,"(0.0002,0.4961)",0.2017,0.1152,0.0133,0.2846,0.4961,0.1971,0.0002,0.1084
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017316_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-12,5120.0,0.0002,0.3186,"(0.0002,0.3186)",0.0764,0.0644,0.0041,0.1178,0.2601,0.06,0.0002,0.0217
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017317_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-13,3841.0,0.1838,1.0,"(0.1838,1.0)",0.6631,0.1895,0.0359,0.8159,1.0,0.6573,0.1838,0.5164
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017317_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-13,3835.0,0.0002,0.4961,"(0.0002,0.4961)",0.2088,0.1209,0.0146,0.3004,0.4961,0.2066,0.0002,0.1085
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017317_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-13,3791.0,0.0002,0.3186,"(0.0002,0.3186)",0.0704,0.0653,0.0043,0.1084,0.2446,0.0491,0.0002,0.0173
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017318_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-14,5244.0,0.1925,1.0,"(0.1925,1.0)",0.6497,0.1954,0.0382,0.8106,1.0,0.6436,0.1925,0.4937
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017318_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-14,5236.0,0.0002,0.4901,"(0.0002,0.4901)",0.1996,0.1152,0.0133,0.2828,0.4901,0.1963,0.0002,0.1053
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017318_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-14,5191.0,0.0002,0.3186,"(0.0002,0.3186)",0.0766,0.0649,0.0042,0.1177,0.2604,0.0598,0.0002,0.0217
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017319_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-15,5162.0,0.1838,1.0,"(0.1838,1.0)",0.6487,0.1922,0.037,0.8058,1.0,0.6413,0.1838,0.4973
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017319_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-15,5154.0,0.0002,0.4961,"(0.0002,0.4961)",0.2031,0.1157,0.0134,0.2867,0.4961,0.199,0.0002,0.1094
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017319_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-15,5109.0,0.0002,0.3186,"(0.0002,0.3186)",0.0752,0.0641,0.0041,0.1166,0.2601,0.0584,0.0002,0.0207
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017320_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-16,3870.0,0.1838,1.0,"(0.1838,1.0)",0.6622,0.1893,0.0358,0.8161,1.0,0.6581,0.1838,0.5156
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017320_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-16,3867.0,0.0002,0.4961,"(0.0002,0.4961)",0.2078,0.1194,0.0143,0.2985,0.4961,0.2049,0.0002,0.1084
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017320_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-16,3825.0,0.0002,0.3186,"(0.0002,0.3186)",0.0722,0.0656,0.0043,0.1115,0.2505,0.0515,0.0002,0.0183
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017321_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-17,5208.0,0.1838,1.0,"(0.1838,1.0)",0.6492,0.1952,0.0381,0.8104,1.0,0.6437,0.1838,0.4936
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017321_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-17,5200.0,0.0002,0.4901,"(0.0002,0.4901)",0.1993,0.1149,0.0132,0.2817,0.4901,0.1957,0.0002,0.1054
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017321_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-17,5155.0,0.0002,0.3186,"(0.0002,0.3186)",0.077,0.0648,0.0042,0.1189,0.2633,0.0606,0.0002,0.022
